pkts_toserver,pkts_toclient,sig_len,proto,severity,label
1,0,59,2,1,1
1,0,15,1,3,0
7,6,23,1,2,1
9,9,30,1,1,1
9,9,26,1,3,0
11,10,23,1,2,1
16,15,23,1,2,1
21,21,23,1,2,1
26,25,23,1,2,1
31,28,23,1,2,1
36,30,23,1,2,1
41,33,23,1,2,1
46,35,23,1,2,1
51,38,23,1,2,1
56,40,23,1,2,1
61,45,23,1,2,1
66,51,23,1,2,1
71,56,23,1,2,1
76,61,23,1,2,1
81,66,23,1,2,1
89,72,23,1,2,1
6,15,42,1,3,0
10,8,37,1,3,0
4,2,37,1,3,0
8,6,45,1,3,0
4,3,37,1,3,0
51,75,45,1,3,0
1,0,59,2,1,1
4,6,43,1,3,0
4,3,43,1,3,0
13,12,28,1,3,0
1,0,59,2,1,1
3,0,59,2,1,1
1,1,19,3,3,0
1,0,22,1,3,0
1,0,22,1,3,0
7,0,59,2,1,1
1,0,32,1,3,0
1,1,32,1,3,0
1,0,22,1,3,0
1,1,19,3,3,0
2,1,19,3,3,0
1,0,24,2,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,1,32,1,3,0
1,0,24,2,3,0
1,1,19,3,3,0
11,0,59,2,1,1
3,0,59,2,1,1
4,3,29,1,3,0
4,3,22,1,3,0
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
3,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
3,0,59,2,1,1
4,3,29,1,3,0
4,3,22,1,3,0
11,18,29,1,3,0
11,18,22,1,3,0
2,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
2,0,59,2,1,1
4,0,59,2,1,1
2,1,19,3,3,0
2,0,59,2,1,1
2,1,19,3,3,0
1,0,24,2,3,0
1,1,19,3,3,0
1,0,59,2,1,1
4,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
